,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
684,684,32.46362990281859,0.8372809359092127,2.403123174901003,0.5570943535822548,3.5988429454358974,0.4128982325190814,1.5678269009581018,0.5870196039872302,0.33020372915623025,1.641374134168409,0.24184372137963459,0.4406910101352858,0.7554459517985839,0.3847516493653487
1397,1397,32.471654183993465,0.9800201033019881,1.4609599183800066,0.6614013449126213,2.206379464497978,0.3003988098904403,1.9743284182596044,0.4825878283404893,0.20138536946569774,7.124027370320487,0.08766061581601786,0.4032972565845005,0.9640710435489436,0.027481561023128837
891,891,32.49547956604353,1.3684065811007518,1.5901668709682943,0.5733416848456568,1.416862631474533,0.6883911250431859,1.5841889493329098,0.4691382409144762,0.2915078600961659,1.3735226797422313,0.8384888410361293,0.41844029483297734,0.8387537172009807,0.3153324120664405
1451,1451,32.49960449242128,0.7571363736002841,2.035931625536897,0.540999348456038,2.8517294431818394,0.3753290394312386,1.8163679107740953,0.557544109565492,0.1028931756498089,1.7350917691174295,0.21451114280851608,0.4347335377778715,0.23544784164629806,0.022179088078101122
847,847,32.50070267795651,1.4423986356823641,1.2801984334607635,0.5599593542607016,1.4213657078812916,0.852100528401402,0.8701834909718643,0.4655782390441554,0.22225279549314317,1.3352994215597571,0.6915719465816,0.44922744510742996,0.8447914047837882,0.34680673958218144
971,971,32.50144873934974,1.0831747889603824,1.4796303581719432,0.5202397352464914,1.8913274174166879,0.6672276010544083,0.5050097523257335,0.5440825822620359,0.3831073721420023,2.2105936515275566,0.6890101789613238,0.32903779162678803,0.9006105199608369,0.26394839887432314
850,850,32.506355235560285,1.455414910400412,1.2046749053285115,0.5561524292674647,1.5279909403719456,0.8718389962193615,0.5370322609470284,0.43169760959647857,0.21888516595024016,1.2487686497963435,0.6816085439694796,0.39344505200452645,0.8803726924169367,0.32747987211695173
870,870,32.51067604072734,1.4152242966078552,1.3977112319787508,0.6163109610568837,1.143360678204282,0.7324320022858685,0.8637461259032518,0.4790602009829011,0.23342790931846913,1.0431310981425128,0.6921303887294878,0.3907322644150296,0.8899308913805916,0.3010718218806161
713,713,32.51179228588216,0.9760655330989171,1.7983618692779193,0.6350716754883673,1.9384329843237844,0.4378002660642083,1.512143268304746,0.5633932832403361,0.35569810976534677,1.1072631267403448,0.2726236116851126,0.41168646017214094,0.709037924545182,0.334410553252454
403,403,32.517252287054745,0.6287970305813824,2.1212091062712295,0.6548610895814578,3.1459173272295256,0.4058753539479064,2.542504562611063,0.6636208875738734,0.22796958249560415,1.3398480754723556,0.5261977225283428,0.490158370636309,0.9774425208222566,0.029663267910772312
714,714,32.517946334349816,0.9552350176890373,1.750894345587437,0.6259340113190082,1.9250889266185602,0.43079757031050786,1.5479071053501565,0.5564372909111609,0.25744830712911243,1.1223552617625676,0.2764629929571566,0.4217095266229644,0.7187760890606776,0.3980575447687835
1812,1812,32.52168523074345,0.6106548151931475,2.054864878617146,0.35262523213852803,3.450429130566075,0.6864094543789502,1.957604939554679,0.6616519053754146,0.14041608859788698,4.4230341158561925,0.06157067183992816,0.4679707492828407,0.9408593391890891,0.10306026116406387
300,300,32.530877336186954,0.7276003810869472,1.9128076565883905,0.42097560451817884,2.8228861830037055,0.4362404276973233,1.631749055073424,0.6484293958546579,0.20826318865284638,2.2709278395704047,0.3937069681886578,0.4679404573348719,0.4778555144094052,9.819392804231997e-05
927,927,32.532884132230095,1.4614166948639438,1.0090625025840394,0.6612939243687742,2.0565521712304418,0.6270391240760463,1.1546896094300991,0.5354691968009343,0.8300363714203565,1.2160672357435534,0.6726482597075367,0.37653559329084274,0.79898312923044,0.25436293059195375
704,704,32.53641886454035,0.936796590390605,2.304317142588313,0.5922155505331422,2.9223573660492037,0.4362686770191244,1.7899642765090602,0.5854376137424642,0.2843598388499302,1.0194052109195382,0.2658970792921338,0.45573316034466466,0.7110766632539411,0.3453517769290516
209,209,32.53964182214137,0.6690655493774118,2.1878436948895024,0.6656585989448398,2.970385146958108,0.4704107547552174,3.069168036225204,0.51741663775094,0.1764159863075063,2.9083110665988876,0.508531660079295,0.46833080379438385,0.90310522318576,0.023785747238916247
551,551,32.54253308423104,0.8273060068746991,1.6803279095877992,0.705975052248608,1.971562242026251,0.35777452766988516,3.698782111513863,0.5559710899034529,0.2003886230937151,2.1483028003711624,0.1970315466505601,0.4475431102404488,0.17231206196353388,0.602776638183039
1399,1399,32.54972649018453,0.9770194619533877,1.4890527039049566,0.6592534931992912,2.3046659958218405,0.28273808375113063,1.3859032551706874,0.4726365199834198,0.21459143235811423,5.6893458855738706,0.09345345996773266,0.4028312760249717,0.9532890873121228,0.05267373971935334
702,702,32.570669630067464,0.9074980485818626,1.7278246361455554,0.5837846244177523,2.3382167863317056,0.4293908907547499,2.0456341982406254,0.572710621356437,0.30266117463889114,1.3500203129688269,0.3175913068917078,0.4186435149761949,0.7104268569985472,0.3342393375323265
1803,1803,32.57382443584794,0.5971430994115932,1.784166457016017,0.4343665314052299,3.378551598416119,0.6824607374141184,2.199449013340962,0.6801077975456744,0.10092800885538808,5.274457650510998,0.10680594399989443,0.435870172127867,0.998505409959566,0.060454190281119737
1766,1766,32.5767611017538,1.3614464171513525,1.6588956359896248,0.5095234232061278,3.1736405586117624,0.3717510171699547,1.8571368578507301,0.697220592100833,0.11220166125849926,1.991171567807538,0.16979202237778412,0.4567832643416503,0.9305271992567665,0.0902683934597048
1190,1190,32.58180011885269,0.6907330592087403,2.0508909947342797,0.5630466571421074,2.5724115252447435,0.549634536837374,0.8598952509919904,0.5816523841721565,0.1464265439510012,1.6299992820594906,0.5851021921756243,0.37416441330949307,0.9451287190048049,0.14698714520536
753,753,32.58613684956877,1.086588135222757,1.455834152085822,0.6461221313574664,1.6417434715647923,0.48951727798268646,0.9388088954463285,0.5003674527927315,0.38829706949903653,1.1730229798906302,0.8613128529795607,0.3982454111480641,0.7635427812597814,0.40015855089983476
1049,1049,32.58963987612991,0.6533397568766175,2.567033159247516,0.5183211587527664,2.7555095370195155,0.7387581938552157,1.2051564217521915,0.5181984578301356,0.20315895639413264,1.7649820502263336,0.17681703393779175,0.4337750637147133,0.9267896340070075,0.3670832829806885
1117,1117,32.5936403495753,0.9846191017604341,1.5733125188568098,0.6720143701923205,1.0009545351684248,0.6242919001033428,1.1927115261135843,0.6124778006023863,0.16381234112622867,1.443486115911292,0.15435433404570964,0.4017732349955883,0.8954552750933925,0.04215408981168612
1008,1008,32.59389538519405,0.6942211365395711,2.066379174977043,0.583653798246526,1.736870706572755,0.6321781367380337,1.9502294971923546,0.5096184875117864,0.342495443900078,1.173241836106311,0.8292719597471823,0.45948748334520756,0.916060647716454,0.33381771561565193
1801,1801,32.59763588334759,0.5785655734423334,1.7190638236502591,0.42820375736127886,3.3200443982400265,0.6750171256918123,2.55444251871925,0.6772776618000697,0.09837954062757835,4.608667498010415,0.11400953301446529,0.4352232169391544,0.9637004218333785,0.08354915981748424
